Date,Correlation
1992-01-03,
1992-01-06,
1992-01-07,
1992-01-08,
1992-01-09,
1992-01-10,
1992-01-13,
1992-01-14,
1992-01-15,
1992-01-16,
1992-01-17,
1992-01-20,
1992-01-21,
1992-01-22,
1992-01-23,
1992-01-24,0.10438204089679633
1992-01-27,0.1037692573908062
1992-01-28,0.10279835832565414
1992-01-29,0.11189610834213652
1992-01-30,0.1077234496947901
1992-01-31,0.10676690489357857
1992-02-03,0.10525228018372286
1992-02-04,0.1091464758305135
1992-02-05,0.10499640115517367
1992-02-06,0.10880699121679188
1992-02-07,0.12304968104302323
1992-02-10,0.12690151183636886
1992-02-11,0.14883092498828102
1992-02-12,0.15568682826865574
1992-02-13,0.15351327799498451
1992-02-14,0.15979183379213316
1992-02-18,0.16068257883539253
1992-02-19,0.15676807238793897
1992-02-20,0.1640440496145654
1992-02-21,0.15835974240028
1992-02-24,0.15614032486238444
1992-02-25,0.15691867783057056
1992-02-26,0.156751991873582
1992-02-27,0.15222384095296557
1992-02-28,0.15251329514457376
1992-03-02,0.15377991679648462
1992-03-03,0.15844696900490238
1992-03-04,0.15954450053334407
1992-03-05,0.16015592764011208
1992-03-06,0.15520762185216969
1992-03-09,0.15399320120307836
1992-03-10,0.15473527872622045
1992-03-11,0.1526762743388807
1992-03-12,0.15069380618657877
1992-03-13,0.15390094688717953
1992-03-16,0.15278508897183263
1992-03-17,0.15922309626438072
1992-03-18,0.1575331934253233
1992-03-19,0.15807845968454504
1992-03-20,0.16070950282678112
1992-03-23,0.16000589213836866
1992-03-24,0.160238756387292
1992-03-25,0.16066493983185698
1992-03-26,0.16379513419239033
1992-03-27,0.16386537818585822
1992-03-30,0.16129806008399086
1992-03-31,0.1612160566507413
1992-04-01,0.1618983654607121
1992-04-02,0.1626991129748926
1992-04-03,0.1585611423090188
1992-04-06,0.1612776160928351
1992-04-07,0.15702657404763817
1992-04-08,0.1409997537565527
1992-04-09,0.14177394556817144
1992-04-10,0.12313087372041169
1992-04-13,0.1152668504893796
1992-04-14,0.1137852058268877
1992-04-15,0.10016804867102934
1992-04-16,0.09640038157716932
1992-04-20,0.11032027815964737
1992-04-21,0.10349038166486237
1992-04-22,0.10845539002095561
1992-04-23,0.10755240939328467
1992-04-24,0.10914135378131513
1992-04-27,0.10927902265680492
1992-04-28,0.10829216945792713
1992-04-29,0.10817588537538522
1992-04-30,0.12143468944256872
1992-05-01,0.11680157659326772
1992-05-04,0.12371947848603625
1992-05-05,0.12010204474172856
1992-05-06,0.11955586685025613
1992-05-07,0.12504480840681986
1992-05-08,0.12417881454308248
1992-05-11,0.12795181165795805
1992-05-12,0.12646375341822888
1992-05-13,0.12460245181388553
1992-05-14,0.12443839553269588
1992-05-15,0.11776220497272782
1992-05-18,0.11247007806883752
1992-05-19,0.11695182053505158
1992-05-20,0.11724786059852713
1992-05-21,0.11785170685424415
1992-05-22,0.11824332439295995
1992-05-26,0.11760756054874429
1992-05-27,0.11491488472328781
1992-05-28,0.11400958866836806
1992-05-29,0.11848524559513786
1992-06-01,0.12361659725942341
1992-06-02,0.1238067169500263
1992-06-03,0.12386626300872017
1992-06-04,0.12432419359818565
1992-06-05,0.12426789205270362
1992-06-08,0.13007109082275983
1992-06-09,0.13419075383811602
1992-06-10,0.1289481543829054
1992-06-11,0.126237517564038
1992-06-12,0.1272256352372564
1992-06-15,0.12673499929967644
1992-06-16,0.12740086177524979
1992-06-17,0.1286399641775025
1992-06-18,0.11313802453363592
1992-06-19,0.11325961683360095
1992-06-22,0.11165003225625286
1992-06-23,0.11224328339269686
1992-06-24,0.1122088733883735
1992-06-25,0.12646518812635527
1992-06-26,0.12455182534911619
1992-06-29,0.12769172539639723
1992-06-30,0.11325129424897834
1992-07-01,0.1139065892971244
1992-07-02,0.10381205635054104
1992-07-06,0.10730774093557341
1992-07-07,0.1112537449165363
1992-07-08,0.10425497138535218
1992-07-09,0.10484140380679326
1992-07-10,0.10122811653100589
1992-07-13,0.1029422551586442
1992-07-14,0.10909305756633055
1992-07-15,0.10831948086228761
1992-07-16,0.11680396160962403
1992-07-17,0.13193857946986196
1992-07-20,0.12749018918188115
1992-07-21,0.12502215566673736
1992-07-22,0.12439587404519262
1992-07-23,0.12320851657903914
1992-07-24,0.13136132363123335
1992-07-27,0.13139825963624377
1992-07-28,0.13359714957665245
1992-07-29,0.12779556254357347
1992-07-30,0.12282346196081831
1992-07-31,0.12273175966054961
1992-08-03,0.1260248581528795
1992-08-04,0.1259305680447056
1992-08-05,0.13464168431192725
1992-08-06,0.13410968435432932
1992-08-07,0.13237691676119653
1992-08-10,0.13091385554703047
1992-08-11,0.13387385226559803
1992-08-12,0.13747446497987487
1992-08-13,0.14629160975703054
1992-08-14,0.14853829418283235
1992-08-17,0.14772841139192575
1992-08-18,0.14793201608079448
1992-08-19,0.1513243767770524
1992-08-20,0.15607155433240855
1992-08-21,0.1563248319849704
1992-08-24,0.15525616100631515
1992-08-25,0.14291838324730205
1992-08-26,0.14440881376770787
1992-08-27,0.14234272952192284
1992-08-28,0.14245754768125113
1992-08-31,0.14152710750903555
1992-09-01,0.14162447957044436
1992-09-02,0.1432866378511453
1992-09-03,0.14227200193247566
1992-09-04,0.1474239006613368
1992-09-08,0.14972453201469757
1992-09-09,0.1466554621217237
1992-09-10,0.14518526076962462
1992-09-11,0.13944307034082176
1992-09-14,0.13877368405225118
1992-09-15,0.1324769733552254
1992-09-16,0.11709335018901565
1992-09-17,0.11709571714343421
1992-09-18,0.11962155648423752
1992-09-21,0.12192949010898901
1992-09-22,0.12453983791862666
1992-09-23,0.115418101528503
1992-09-24,0.11831905666602967
1992-09-25,0.11799466447052812
1992-09-28,0.11209792471599972
1992-09-29,0.11136210161595927
1992-09-30,0.1118196102800889
1992-10-01,0.10843804080929868
1992-10-02,0.10699614043759485
1992-10-05,0.09671535659671439
1992-10-06,0.09117021829585974
1992-10-07,0.09016500236626536
1992-10-08,0.09032427101499514
1992-10-09,0.08625749905421551
1992-10-12,0.08517718327284282
1992-10-13,0.07805899800303996
1992-10-14,0.0756486385506975
1992-10-15,0.07616591675337689
1992-10-16,0.07549771331454137
1992-10-19,0.07149699286756768
1992-10-20,0.07065233195744719
1992-10-21,0.07733057714571334
1992-10-22,0.07733703630009471
1992-10-23,0.07581030362458983
1992-10-26,0.07602219893084294
1992-10-27,0.07504797455333789
1992-10-28,0.0743047525436464
1992-10-29,0.07367290704939553
1992-10-30,0.07376342665899253
1992-11-02,0.07107823803578102
1992-11-03,0.06931186236423476
1992-11-04,0.06548823084838142
1992-11-05,0.062052551497753156
1992-11-06,0.06691242163160283
1992-11-09,0.06805620472082494
1992-11-10,0.06984249298512868
1992-11-11,0.07000938088016309
1992-11-12,0.07062395655690698
1992-11-13,0.07431008609933151
1992-11-16,0.0745577178335976
1992-11-17,0.07177376575381904
1992-11-18,0.06980609556032856
1992-11-19,0.0668309561878526
1992-11-20,0.06722537223656051
1992-11-23,0.06384291022518918
1992-11-24,0.06522697980504999
1992-11-25,0.06371798772085621
1992-11-27,0.06833260165049408
1992-11-30,0.0674783894058567
1992-12-01,0.06730832748680324
1992-12-02,0.07221098629917128
1992-12-03,0.07006496545642558
1992-12-04,0.07687765748445823
1992-12-07,0.07847615765591529
1992-12-08,0.0815976622526593
1992-12-09,0.0844216591407559
1992-12-10,0.08777817795349384
1992-12-11,0.08600690804967932
1992-12-14,0.08557485332416541
1992-12-15,0.0881219764805808
1992-12-16,0.1214155423250572
1992-12-17,0.12140559048507055
1992-12-18,0.11319299002100393
1992-12-21,0.10996514732509348
1992-12-22,0.11026393374588486
1992-12-23,0.11036346810725475
1992-12-24,0.1208139046945297
1992-12-28,0.12211478199583713
1992-12-29,0.1229692627232841
1992-12-30,0.12409356348458614
1992-12-31,0.1302480504250384
1993-01-04,0.13274262536094836
1993-01-05,0.13361932802801132
1993-01-06,0.13336108821859474
1993-01-07,0.1391980629713929
1993-01-08,0.1353375913589973
1993-01-11,0.13418614667018838
1993-01-12,0.13655568700114526
1993-01-13,0.14634611374890916
1993-01-14,0.14436800264294603
1993-01-15,0.14244637237750368
1993-01-18,0.1472183746263131
1993-01-19,0.14949898048425422
1993-01-20,0.1505505129904348
1993-01-21,0.15258720732686062
1993-01-22,0.1519793570498454
1993-01-25,0.1518717867334553
1993-01-26,0.15348523131990255
1993-01-27,0.1546736345693022
1993-01-28,0.15306273657082167
1993-01-29,0.15313160359576272
1993-02-01,0.1530685770220673
1993-02-02,0.1496990212006251
1993-02-03,0.1694236979941263
1993-02-04,0.16233232721665863
1993-02-05,0.15965235837402056
1993-02-08,0.15903196615165976
1993-02-09,0.15715553893946163
1993-02-10,0.16268250403697587
1993-02-11,0.1631043399353081
1993-02-12,0.1627952135979209
1993-02-16,0.15917209499182075
1993-02-17,0.12435412883736546
1993-02-18,0.12423449217428972
1993-02-19,0.12488265099495378
1993-02-22,0.12107621298720661
1993-02-23,0.1240826156252456
1993-02-24,0.12683146450251742
1993-02-25,0.12078524900602691
1993-02-26,0.12208046863317332
1993-03-01,0.12135277696115913
1993-03-02,0.12264302680611758
1993-03-03,0.11711908461990876
1993-03-04,0.11858231537345541
1993-03-05,0.12242762166739776
1993-03-08,0.12321697349763665
1993-03-09,0.11648287331618574
1993-03-10,0.11697261816363087
1993-03-11,0.11693309535558678
1993-03-12,0.11437573718523308
1993-03-15,0.10515825650979468
1993-03-16,0.11919195149336721
1993-03-17,0.11946819056650178
1993-03-18,0.11424831040507137
1993-03-19,0.11150048838470672
1993-03-22,0.121579114907014
1993-03-23,0.12046504959161075
1993-03-24,0.12332732822426384
1993-03-25,0.12419210706050814
1993-03-26,0.12045264136791445
1993-03-29,0.12447644937382597
1993-03-30,0.12278077424847657
1993-03-31,0.12569795610778217
1993-04-01,0.1287179898095652
1993-04-02,0.1281282132057605
1993-04-05,0.10659692743703725
1993-04-06,0.11315120364079735
1993-04-07,0.11693163743558624
1993-04-08,0.1212307313746338
1993-04-12,0.12185132077004072
1993-04-13,0.11117127802347784
1993-04-14,0.11091478775825894
1993-04-15,0.1109703087181018
1993-04-16,0.11113773257281714
1993-04-19,0.11237587767999505
1993-04-20,0.11216255857734542
1993-04-21,0.11505968039406606
1993-04-22,0.11844342701729466
1993-04-23,0.11624125965733419
1993-04-26,0.11337884922281545
1993-04-27,0.11095269717853769
1993-04-28,0.1080265714592426
1993-04-29,0.11501662185560713
1993-04-30,0.11396266125613581
1993-05-03,0.11135238630334351
1993-05-04,0.10765359777341278
1993-05-05,0.10717894231021398
1993-05-06,0.10912709380393058
1993-05-07,0.10819646642050622
1993-05-10,0.11216320197996557
1993-05-11,0.11212233374081107
1993-05-12,0.11249217260860221
1993-05-13,0.11176693158457429
1993-05-14,0.0981690717743344
1993-05-17,0.0973445214498759
1993-05-18,0.10004333655165086
1993-05-19,0.10013178058783262
1993-05-20,0.08749662321663752
1993-05-21,0.08558183403976832
1993-05-24,0.08545971088299176
1993-05-25,0.0868196851696091
1993-05-26,0.08747281006905133
1993-05-27,0.08098417113193293
1993-05-28,0.08041004938860796
1993-06-01,0.08172701314316655
1993-06-02,0.07893700035188524
1993-06-03,0.0804527084910545
1993-06-04,0.07909359109178421
1993-06-07,0.07291349427046669
1993-06-08,0.06825717641689515
1993-06-09,0.06231868465952123
1993-06-10,0.06288842412441623
1993-06-11,0.06373841956900592
1993-06-14,0.06317055688484244
1993-06-15,0.06591748457127572
1993-06-16,0.06584808812888943
1993-06-17,0.06568775515109905
1993-06-18,0.06508001782691654
1993-06-21,0.060523498818394354
1993-06-22,0.058510528854854416
1993-06-23,0.05986095687936541
1993-06-24,0.06047801154289069
1993-06-25,0.060862099407720506
1993-06-28,0.060754939306103005
1993-06-29,0.05261986111141747
1993-06-30,0.055223440322145184
1993-07-01,0.05636193018099358
1993-07-02,0.05679564433343996
1993-07-06,0.05239903544285175
1993-07-07,0.049950369952700656
1993-07-08,0.050308874079685394
1993-07-09,0.051995734137283124
1993-07-12,0.05583703982979318
1993-07-13,0.0560323768482406
1993-07-14,0.06493855641779553
1993-07-15,0.06376480829340857
1993-07-16,0.06596978669630843
1993-07-19,0.06399537929503647
1993-07-20,0.06371487008573572
1993-07-21,0.06429558659271217
1993-07-22,0.06629823977611626
1993-07-23,0.06773099172433997
1993-07-26,0.07118807289859938
1993-07-27,0.07093330818283669
1993-07-28,0.07139337179917811
1993-07-29,0.07405217855474103
1993-07-30,0.07066405783471691
1993-08-02,0.06985282040605907
1993-08-03,0.06811381455378346
1993-08-04,0.06839351310557999
1993-08-05,0.06835111446945559
1993-08-06,0.06903713174690951
1993-08-09,0.06907966501738302
1993-08-10,0.0692722249899934
1993-08-11,0.06803347221891906
1993-08-12,0.06773454629707883
1993-08-13,0.06551365873675306
1993-08-16,0.06488875781642826
1993-08-17,0.06556471905307233
1993-08-18,0.06806585384124825
1993-08-19,0.06835907001592799
1993-08-20,0.07300890215418354
1993-08-23,0.07244070387235878
1993-08-24,0.07162722720055574
1993-08-25,0.06704754825736847
1993-08-26,0.06712384102901361
1993-08-27,0.06702818374220978
1993-08-30,0.06595959732712793
1993-08-31,0.06802772602896995
1993-09-01,0.06732926653281211
1993-09-02,0.06757489583272819
1993-09-03,0.06678179148712142
1993-09-07,0.07897009501910665
1993-09-08,0.07879242770854177
1993-09-09,0.07589068055679613
1993-09-10,0.07766185419761353
1993-09-13,0.07045828246197827
1993-09-14,0.0741359074219324
1993-09-15,0.07226419192323914
1993-09-16,0.07255495498919941
1993-09-17,0.07346346409626252
1993-09-20,0.07364775359002028
1993-09-21,0.07388007252982687
1993-09-22,0.07084217824282912
1993-09-23,0.0654991965778116
1993-09-24,0.07063248724660506
1993-09-27,0.07165414499406633
1993-09-28,0.07100872406893564
1993-09-29,0.07202347449082559
1993-09-30,0.07244511276521906
1993-10-01,0.07234721405908452
1993-10-04,0.07357177108306426
1993-10-05,0.07450723947078085
1993-10-06,0.07496167976009037
1993-10-07,0.07563961336873538
1993-10-08,0.07384468045505918
1993-10-11,0.07448408763394962
1993-10-12,0.07699852922263971
1993-10-13,0.0786174815661553
1993-10-14,0.07880952265928418
1993-10-15,0.07949659597539577
1993-10-18,0.07682717074895139
1993-10-19,0.07741747040016192
1993-10-20,0.07840930941402169
1993-10-21,0.07796367496045047
1993-10-22,0.08045201180634198
1993-10-25,0.08122943260946332
1993-10-26,0.08121752239021539
1993-10-27,0.08338041903155669
1993-10-28,0.08318598745059949
1993-10-29,0.08061701812716665
1993-11-01,0.08257927897763809
1993-11-02,0.08242645929960112
1993-11-03,0.086909533523116
1993-11-04,0.0721147166908131
1993-11-05,0.0631619197888719
1993-11-08,0.06304238451824622
1993-11-09,0.06214146170723371
1993-11-10,0.06592086062080615
1993-11-11,0.0648140470385495
1993-11-12,0.06465870534905131
1993-11-15,0.0651725260292507
1993-11-16,0.06540354824025943
1993-11-17,0.06534813574060605
1993-11-18,0.06339948173582648
1993-11-19,0.0626359676393552
1993-11-22,0.06271309366950786
1993-11-23,0.055918269392386984
1993-11-24,0.05875203439888309
1993-11-26,0.05636966594625372
1993-11-29,0.05604573378269392
1993-11-30,0.0612571710663373
1993-12-01,0.06355307975066155
1993-12-02,0.06373942851727848
1993-12-03,0.06413204550937938
1993-12-06,0.06444020996143321
1993-12-07,0.06552382840085763
1993-12-08,0.09760742186277041
1993-12-09,0.09730142762110848
1993-12-10,0.09541878354145102
1993-12-13,0.09653004661118024
1993-12-14,0.0990098249471759
1993-12-15,0.09775816108133446
1993-12-16,0.09878836344002331
1993-12-17,0.10123244230933953
1993-12-20,0.09621714845313933
1993-12-21,0.09711429307239837
1993-12-22,0.09651221923307211
1993-12-23,0.10257124689826912
1993-12-27,0.10326398133326269
1993-12-28,0.11293879030564288
1993-12-29,0.1121834054397019
1993-12-30,0.1135132185625827
1993-12-31,0.11241888286576146
1994-01-03,0.11225589110444757
1994-01-04,0.10834570752635811
1994-01-05,0.11103191453344757
1994-01-06,0.11617116378729901
1994-01-07,0.11642571594386042
1994-01-10,0.11590070839128602
1994-01-11,0.11376413140704071
1994-01-12,0.11561468903582425
1994-01-13,0.1159338857061969
1994-01-14,0.1142955308631397
1994-01-17,0.11430590681182726
1994-01-18,0.11358240978723781
1994-01-19,0.11338690935614526
1994-01-20,0.11773904203365237
1994-01-21,0.11695078046505793
1994-01-24,0.11650782850560844
1994-01-25,0.12375386901393408
1994-01-26,0.1260852499235662
1994-01-27,0.1257628124765362
1994-01-28,0.13825607658575967
1994-01-31,0.14390433764009958
1994-02-01,0.14151839730289986
1994-02-02,0.145336618609161
1994-02-03,0.182631843051868
